phase,sample,wall_ms,game_ms,render_ms,draw_calls,primitives,process_bytes,world_actors,compound_actors,instances,batches
32_preview_compounds,121,6.7429,1.5072,6.8877,2527,1190933,4611801088,96,32,721,208
32_preview_compounds,122,7.1577,1.6273,6.9119,2500,833449,4611801088,96,32,721,208
32_preview_compounds,123,7.6190,1.5124,7.8409,2501,833461,4611801088,96,32,721,208
32_preview_compounds,124,6.0190,1.5868,5.8833,2501,833461,4611866624,96,32,721,208
32_preview_compounds,125,8.3256,1.6196,8.2466,2527,1190949,4611866624,96,32,721,208
32_preview_compounds,126,5.9027,1.6548,5.9446,2500,833449,4611866624,96,32,721,208
32_preview_compounds,127,6.9161,1.8081,6.7449,2501,833461,4611866624,96,32,721,208
32_preview_compounds,128,6.9402,1.6308,7.0692,2527,1190933,4611866624,96,32,721,208
32_preview_compounds,129,7.9629,1.5596,8.0637,2500,833449,4611866624,96,32,721,208
32_preview_compounds,130,5.4892,1.5934,5.4645,2500,833449,4611866624,96,32,721,208
32_preview_compounds,131,6.7745,1.5457,6.8192,2500,833449,4611866624,96,32,721,208
32_preview_compounds,132,7.2377,1.6217,7.1844,2527,1190949,4611866624,96,32,721,208
32_preview_compounds,133,7.5848,1.6073,7.2433,2500,833449,4611870720,96,32,721,208
32_preview_compounds,134,6.8145,1.9975,6.8369,2500,833449,4611870720,96,32,721,208
32_preview_compounds,135,6.7028,1.7242,6.9650,2527,1190933,4611870720,96,32,721,208
32_preview_compounds,136,6.8051,1.5849,6.7892,2500,833449,4611870720,96,32,721,208
32_preview_compounds,137,6.7254,1.6823,6.5878,2501,833461,4611870720,96,32,721,208
32_preview_compounds,138,6.9819,1.8165,6.9939,2500,833449,4611940352,96,32,721,208
32_preview_compounds,139,6.7947,1.6734,6.9128,2527,1190949,4607811584,96,32,721,208
32_preview_compounds,140,7.6607,1.4829,7.7220,2500,833449,4607811584,96,32,721,208
32_preview_compounds,141,6.5169,1.5218,6.5995,2500,833449,4607811584,96,32,721,208
32_preview_compounds,142,7.0411,1.7190,6.7025,2527,1190933,4607815680,96,32,721,208
32_preview_compounds,143,6.5519,1.5864,6.7576,2502,833473,4607815680,96,32,721,208
32_preview_compounds,144,7.0139,1.4864,7.0719,2500,833449,4607815680,96,32,721,208
32_preview_compounds,145,7.0535,1.5228,6.9818,2501,833461,4607815680,96,32,721,208
32_preview_compounds,146,7.9534,1.6748,7.7311,2527,1190949,4607815680,96,32,721,208
32_preview_compounds,147,6.8617,1.7914,7.0138,2500,833449,4607819776,96,32,721,208
