stage,sample,wall_ms,game_ms,render_ms,draw_calls,process_bytes,world_actors,parcels,instances,batches
8,145,6.2557,2.0717,6.1897,302,4686471168,77,1,3,3
8,146,5.0043,2.4831,5.1564,302,4686471168,77,1,3,3
8,147,6.6717,2.2521,6.5308,240,4686471168,77,1,3,3
8,148,4.9010,2.2432,5.4684,240,4686471168,77,1,3,3
8,149,6.7719,1.7431,6.3703,254,4686471168,77,1,3,3
8,150,7.1336,2.1334,7.0386,240,4686471168,77,1,3,3
8,151,5.7149,2.2374,5.6469,302,4686471168,77,1,3,3
8,152,5.5067,2.2236,5.4917,302,4686471168,77,1,3,3
8,153,5.6028,2.3840,5.9421,240,4686471168,77,1,3,3
8,154,5.7976,1.8358,5.4892,240,4686471168,77,1,3,3
8,155,7.4157,2.1657,6.9650,241,4686471168,77,1,3,3
8,156,4.6133,2.6884,5.5178,241,4686471168,77,1,3,3
8,157,7.0200,1.8291,6.4893,302,4686471168,77,1,3,3
8,158,4.9113,2.2300,5.4393,302,4686471168,77,1,3,3
8,159,6.3972,1.6744,6.4123,242,4686471168,77,1,3,3
8,160,5.6969,1.7773,5.1823,241,4686471168,77,1,3,3
8,161,6.4052,2.1910,6.4441,254,4686471168,77,1,3,3
8,162,6.0312,1.9745,6.1968,240,4686471168,77,1,3,3
8,163,5.7623,2.0757,5.4002,241,4686471168,77,1,3,3
8,164,5.8117,2.2958,6.3616,303,4686471168,77,1,3,3
8,165,7.3828,1.6714,7.0290,241,4686471168,77,1,3,3
8,166,4.9004,2.1506,5.0747,241,4686471168,77,1,3,3
8,167,6.1276,1.9133,6.1697,254,4686471168,77,1,3,3
8,168,6.4231,1.6319,6.2308,240,4686471168,77,1,3,3
8,169,4.3918,1.8466,4.9194,240,4686471168,77,1,3,3
8,170,6.3957,1.5831,6.2390,303,4686471168,77,1,3,3
8,171,5.9784,1.4933,5.9700,240,4686471168,77,1,3,3
8,172,6.6054,1.8020,6.3362,241,4686471168,77,1,3,3
8,173,6.1145,1.6408,5.8813,254,4686471168,77,1,3,3
8,174,7.1831,2.1582,6.8946,241,4686471168,77,1,3,3
8,175,4.6848,2.2328,5.0468,241,4686471168,77,1,3,3
8,176,7.9953,2.1419,7.3086,240,4686471168,77,1,3,3
8,177,4.8603,2.4194,5.3890,240,4686471168,77,1,3,3
8,178,5.4107,2.0267,5.4892,240,4686471168,77,1,3,3
8,179,5.6779,1.9333,5.7966,254,4686471168,77,1,3,3
8,180,7.1756,2.0145,6.8825,240,4686471168,77,1,3,3
9,1,5.9050,1.3634,5.8397,527,4686970880,123,6,21,19
9,2,8.1898,1.7014,7.0787,541,4686970880,123,6,21,19
9,3,4.0497,2.6502,5.0454,541,4686970880,123,6,21,19
9,4,6.5023,1.6124,6.3713,528,4686970880,123,6,21,19
